id,name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,valence,tempo
0NUqi0ps17YpLUC3kgsZq0,DIE TRYING,0.127,0.789,0.858,0.0,1.0,0.349,-5.542,1.0,0.311,0.775,140.022
2XHzzp1j4IfTNp1FTn7YFg,Love Me,0.0975,0.693,0.576,0.0,0.0,0.207,-6.955,1.0,0.0868,0.691,159.978
0F13K9dwYH2zpTWiR8d628,Go2DaMoon (feat. Kanye West),0.00588,0.711,0.611,0.0,1.0,0.23,-5.453,1.0,0.33,0.144,134.093
11kDth1aKUEUMq9r1pqyds,5% TINT,0.173,0.712,0.481,0.0,4.0,0.241,-5.415,0.0,0.0487,0.062,140.0
417YLEvDX9igfVVam9Q9r2,Last of the Mohicans,0.0124,0.67,0.634,0.0,11.0,0.0946,-6.471,1.0,0.0326,0.497,124.926
1h4nOgOv7cMZtjpyJm083Y,Boof Pack,0.0438,0.812,0.637,0.0,11.0,0.0923,-6.952,0.0,0.206,0.523,144.052
6IyoLWzljeR3ldQo4KWHT6,Out thë way,0.116,0.792,0.707,0.0,7.0,0.12,-5.218,0.0,0.0623,0.408,134.997
0biVzpdI2z0vAxwfU9xuuA,Too Comfortable,0.0364,0.501,0.662,6.64e-05,11.0,0.152,-7.161,0.0,0.083,0.0348,137.625
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),0.409,0.782,0.528,7.89e-05,1.0,0.0999,-6.035,0.0,0.0532,0.389,117.977
3zAWhIscp6ehzXv3KHorwb,Half The Plot,0.00496,0.52,0.66,9.64e-06,1.0,0.436,-4.918,1.0,0.061,0.0416,141.663
1dhO5lyN2Otv4qR0xWQXH7,Live Sheck Wes,0.111,0.8,0.591,0.0,6.0,0.429,-8.808,1.0,0.271,0.747,117.003
6Yqmv7XJLCrQEauMbPGZSw,Maria I'm Drunk (feat. Justin Bieber & Young Thug),0.00583,0.753,0.616,1.77e-06,4.0,0.109,-8.245,1.0,0.0495,0.0388,105.952
5O9zs6G6RcB6yP1OKwnwiM,Choppa Won't Miss (feat. Young Thug),0.204,0.693,0.434,0.0,4.0,0.277,-8.786,0.0,0.385,0.542,147.066
2gQYziDV5cSTRSqr6akzi5,Take A Step Back,0.258,0.785,0.903,0.0,2.0,0.169,-4.184,1.0,0.21,0.565,139.98
3H1n7fBTy0HnEEjMZ80kFP,NXXD YOU,0.38,0.648,0.631,0.0,4.0,0.12,-5.662,0.0,0.104,0.142,105.989
0YThXX1dqUpYBLyJNAsF9N,If We Being Rëal,0.244,0.761,0.518,3.47e-05,0.0,0.107,-8.871,1.0,0.134,0.522,133.976
26QJuQfM8PVAWkIm1JRyqq,ss,0.0455,0.935,0.472,0.0,3.0,0.19,-9.304,0.0,0.0575,0.659,130.041
4lH6nENd1y81jp7Yt9lTBX,Solo,0.067,0.795,0.574,0.0,2.0,0.15,-6.903,0.0,0.487,0.537,142.053
1kK6DwzyXJSp58u5HYWwuD,"Go Loko (feat. Tyga, Jon Z)",0.327,0.88,0.67,4.17e-06,2.0,0.0662,-5.177,1.0,0.0468,0.131,101.008
0l1ANIJeVg43nyJLOEl7NP,ALL EYES,0.247,0.457,0.499,6.34e-05,1.0,0.171,-6.67,1.0,0.0334,0.0348,127.95
4p55EkzkGnWmLYDiNXc14t,Bands,0.028,0.93,0.682,0.0,9.0,0.129,-8.799,1.0,0.331,0.962,126.003
697mqzUk9iIdnY3yHLXYEt,ILMB (feat. Travis Scott),0.000732,0.781,0.617,0.0467,0.0,0.158,-7.82,1.0,0.252,0.506,139.973
7oJrVhiTPZGBXWPwhxjy9S,Lust,0.0538,0.784,0.486,0.497,5.0,0.101,-6.497,0.0,0.0475,0.0894,110.964
1auxYwYrFRqZP7t3s7w4um,Ni**as In Paris,0.23,0.763,0.617,1.96e-06,4.0,0.276,-7.509,0.0,0.246,0.811,128.134
5MUxrNd7Gr2HksLcAlB0IO,Yah Mean,0.154,0.799,0.569,0.0,0.0,0.151,-7.821,1.0,0.318,0.417,125.074
